,id,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
0,25453,41,9,1,2,0,203,0,0,0,29,1,54,1,-1,0,0
1,16750,29,4,2,1,0,-114,1,1,0,14,5,182,2,-1,0,0
2,6235,44,5,1,1,0,548,0,0,1,14,7,406,2,-1,0,0
3,20804,33,11,2,2,0,2101,1,0,1,14,2,203,2,180,1,1
4,6673,57,10,1,1,0,2559,0,1,2,8,7,112,1,-1,0,0
5,33259,33,12,2,1,0,5543,0,0,1,7,2,584,1,-1,0,0
6,37825,59,3,1,3,0,3396,0,0,1,20,7,196,1,-1,0,0
7,2948,42,11,1,3,0,263,1,0,0,29,7,426,2,-1,0,0
8,13680,50,3,1,3,0,973,0,0,0,12,6,454,2,-1,0,0
9,10691,33,3,2,1,0,-11,1,0,2,22,5,83,1,-1,0,0
10,33268,33,11,2,1,0,2198,0,0,1,2,2,58,1,-1,0,0
11,654,32,1,2,1,0,2257,1,0,1,19,6,296,1,350,3,3
12,5802,32,6,2,2,0,775,0,0,1,14,8,140,2,-1,0,0
13,25486,31,1,1,1,1,-239,0,0,0,1,6,167,6,-1,0,0
14,28788,50,7,1,1,0,40,0,0,1,12,5,743,2,-1,0,0
15,34270,44,3,1,3,0,-41,0,0,1,6,8,210,2,-1,0,0
16,19574,52,8,1,1,1,-206,0,1,1,28,5,530,1,-1,0,0
17,20290,54,3,1,1,0,1866,0,0,2,6,7,47,1,-1,0,0
18,37010,31,6,1,2,0,550,1,1,1,14,5,242,1,-1,0,0
19,10452,30,9,2,2,0,900,1,0,1,31,7,329,1,-1,3,3
20,2161,31,11,2,1,0,4279,0,0,1,6,2,106,1,-1,0,0
21,36081,50,3,3,3,0,487,1,0,0,14,5,177,2,-1,0,0
22,34003,29,9,1,1,0,1035,0,0,2,5,8,136,4,-1,0,0
23,9641,40,3,1,3,1,-44,1,0,0,30,6,48,1,-1,0,0
24,24002,34,6,2,2,1,169,0,0,1,14,7,2,7,-1,0,0
25,28525,39,4,2,1,0,-53,1,0,0,5,6,235,1,0,0,0
26,24633,46,3,2,3,0,995,0,0,2,11,12,161,5,89,0,2
27,35550,86,7,1,3,0,1186,0,0,2,11,9,376,1,-1,0,0
28,28213,33,6,2,2,0,3456,1,0,1,2,2,526,3,282,3,1
29,15427,40,3,1,1,0,923,1,0,0,22,5,205,2,-1,0,0
30,41590,37,3,1,2,0,4469,1,0,1,13,5,207,7,358,2,3
31,6291,28,3,1,3,0,731,0,0,1,20,5,196,1,340,1,3
32,40799,52,3,1,1,0,35,0,0,2,20,11,151,1,-1,0,0
33,12373,35,3,3,3,0,418,0,0,1,13,7,692,1,-1,0,0
34,27086,43,6,2,2,1,-271,0,0,0,3,6,82,7,-1,0,0
35,26224,61,7,1,3,0,-78,0,0,2,6,7,158,4,-1,0,0
36,30944,48,3,1,2,0,182,0,1,2,12,5,325,2,-1,0,0
37,5312,55,3,1,3,0,905,0,0,0,29,6,72,1,-1,0,0
38,42369,29,12,2,2,0,5456,0,0,1,13,5,416,5,-1,0,0
39,35374,42,11,1,0,0,847,0,0,1,17,11,177,1,186,1,1
40,39174,55,10,1,3,0,283,0,0,1,10,8,155,1,-1,0,0
41,19272,44,10,3,1,0,372,0,0,1,19,11,631,1,-1,0,0
42,31406,25,12,2,2,0,12336,0,0,1,30,6,292,1,-1,0,0
43,6431,41,4,1,1,0,2255,1,0,1,2,2,167,1,258,7,3
44,30627,31,4,3,2,0,2706,1,0,1,12,5,198,1,345,1,3
45,29381,45,11,1,3,0,1543,0,0,1,21,11,241,2,0,0,0
46,31391,47,3,3,3,0,720,1,1,0,14,7,466,16,-1,0,0
47,8119,52,1,3,2,1,-28,1,0,0,6,5,162,2,-1,0,0
48,15651,78,7,1,3,0,-8,0,0,1,7,3,225,1,171,1,1
49,17812,52,5,1,0,0,704,1,1,0,8,5,138,3,-1,0,0
50,7142,31,3,1,1,0,1598,1,0,1,12,6,121,5,337,11,2
51,10058,50,6,1,3,0,161,1,0,1,28,7,71,1,-1,0,0
52,2332,31,4,2,2,0,144,1,0,1,21,11,99,4,-1,0,0
53,10731,53,10,2,3,0,9459,0,0,0,11,6,828,2,-1,0,0
54,25773,47,9,1,1,0,26,1,0,0,12,5,71,2,-1,0,0
55,29029,31,6,2,2,0,1175,1,0,1,16,4,356,1,-1,0,0
56,23209,30,4,2,2,1,2558,0,0,1,29,2,214,1,273,1,1
57,31421,37,5,2,1,0,-271,1,0,1,11,5,216,1,-1,0,0
58,13558,51,1,1,1,0,1257,0,0,0,13,6,109,2,-1,0,0
59,7513,55,1,1,1,0,388,0,0,2,23,7,165,1,-1,0,0
60,35201,27,6,2,2,0,570,0,0,1,19,11,257,1,-1,0,0
61,11600,51,6,2,2,0,8727,1,0,1,20,11,231,1,190,1,3
62,17864,45,9,1,1,1,-69,1,0,1,10,5,245,1,-1,0,0
63,38410,33,9,1,2,0,3758,0,0,1,6,8,563,3,-1,0,0
64,388,28,12,2,2,0,6297,0,0,1,7,6,357,2,-1,0,0
65,25337,32,1,2,1,0,1564,0,0,1,9,7,384,2,-1,0,0
66,38090,36,4,1,1,1,-289,1,0,0,5,5,114,6,-1,0,0
