id,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribe
22570,46,blue-collar,married,primary,no,4944,yes,no,cellular,14,may,108,1,356,2,failure,no
38062,34,management,single,tertiary,no,2115,no,no,cellular,16,nov,205,1,93,3,other,yes
19593,31,blue-collar,single,secondary,no,1151,yes,no,cellular,29,apr,341,1,-1,0,,yes
36247,33,self-employed,single,tertiary,no,2730,yes,no,telephone,6,jun,826,2,-1,0,,no
32127,44,management,married,tertiary,yes,-171,no,no,cellular,22,aug,402,2,-1,0,,no
18571,32,management,single,tertiary,no,5011,yes,no,cellular,15,apr,259,1,339,2,other,yes
1840,29,blue-collar,married,primary,no,498,yes,yes,cellular,6,may,154,1,-1,0,,no
14660,33,self-employed,single,tertiary,no,223,no,no,,29,may,117,1,-1,0,,no
26217,37,blue-collar,married,secondary,no,4769,no,no,cellular,23,mar,965,1,190,1,success,yes
16288,33,unemployed,single,tertiary,no,4254,no,no,cellular,12,may,772,1,-1,0,,yes
35917,24,student,single,tertiary,no,1001,yes,no,cellular,5,may,498,2,362,3,failure,no
16593,31,technician,married,tertiary,no,1622,yes,no,cellular,19,nov,179,1,122,3,success,yes
2359,33,management,single,tertiary,no,47,yes,no,,14,may,145,5,-1,0,,no
42009,76,blue-collar,married,secondary,no,4778,yes,no,telephone,20,apr,201,1,192,1,failure,no
6467,46,unemployed,married,secondary,no,2268,no,no,cellular,6,sep,466,2,-1,0,,yes
6480,49,blue-collar,divorced,secondary,no,8,yes,no,cellular,6,feb,114,2,-1,0,,no
27351,54,housemaid,married,secondary,no,-42,yes,no,,7,may,87,1,-1,0,,no
37500,33,management,single,secondary,no,65,yes,no,cellular,15,may,186,2,341,1,failure,no
5935,33,entrepreneur,divorced,secondary,yes,-142,yes,no,cellular,4,aug,827,3,-1,0,,no
9386,30,self-employed,single,tertiary,no,5131,yes,no,,14,may,100,5,-1,0,,no
10802,28,management,single,tertiary,no,685,no,no,cellular,30,aug,185,1,-1,0,,no
19525,51,retired,married,,no,4346,no,no,cellular,17,jul,853,1,-1,0,,yes
5527,60,blue-collar,married,primary,no,-45,no,no,,5,oct,153,1,-1,0,,no
10649,32,blue-collar,single,primary,no,1691,yes,no,cellular,20,may,135,5,-1,0,,no
18958,31,services,single,secondary,no,4694,yes,no,cellular,13,may,164,2,353,2,failure,no
41036,50,retired,divorced,primary,no,787,yes,no,cellular,11,feb,626,1,261,3,success,yes
40760,30,technician,single,tertiary,no,2511,yes,no,telephone,5,nov,146,1,176,1,success,no
39340,44,services,single,secondary,no,2528,no,no,telephone,21,jul,332,1,-1,0,,no
22168,34,unemployed,single,tertiary,no,1587,no,no,,3,jun,1041,1,-1,0,,no
10152,53,entrepreneur,married,secondary,yes,-103,no,no,cellular,29,jul,451,1,-1,0,,no
12393,44,management,married,primary,no,-31,no,no,cellular,20,aug,315,2,-1,0,,yes
23511,54,unemployed,married,secondary,no,-60,no,no,cellular,8,aug,184,1,-1,0,,no
30103,34,blue-collar,divorced,tertiary,yes,-54,no,no,cellular,24,may,1341,1,-1,0,,yes
38098,53,management,married,tertiary,no,640,no,no,cellular,30,aug,321,3,-1,0,,yes
35000,33,blue-collar,married,secondary,yes,0,no,no,,23,may,33,1,-1,0,,no
4847,32,services,married,secondary,no,329,yes,yes,,22,may,74,2,-1,0,,no
41492,35,entrepreneur,single,tertiary,no,704,yes,no,telephone,20,jul,156,24,-1,0,,no
37552,39,blue-collar,married,primary,no,763,yes,no,cellular,21,dec,189,1,-1,0,,no
