,id,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribe
0,22570,46,3,1,3,0,4944,1,0,1,14,5,108,1,356,2,1,0
1,38062,34,6,2,2,0,2115,0,0,1,16,11,205,1,93,3,3,1
2,19593,31,3,2,1,0,1151,1,0,1,29,4,341,1,-1,0,0,1
3,36247,33,9,2,2,0,2730,1,0,2,6,6,826,2,-1,0,0,0
4,32127,44,6,1,2,1,-171,0,0,1,22,8,402,2,-1,0,0,0
5,18571,32,6,2,2,0,5011,1,0,1,15,4,259,1,339,2,3,1
6,1840,29,3,1,3,0,498,1,1,1,6,5,154,1,-1,0,0,0
7,14660,33,9,2,2,0,223,0,0,0,29,5,117,1,-1,0,0,0
8,26217,37,3,1,1,0,4769,0,0,1,23,3,965,1,190,1,2,1
9,16288,33,11,2,2,0,4254,0,0,1,12,5,772,1,-1,0,0,1
10,35917,24,12,2,2,0,1001,1,0,1,5,5,498,2,362,3,1,0
11,16593,31,4,1,2,0,1622,1,0,1,19,11,179,1,122,3,2,1
12,2359,33,6,2,2,0,47,1,0,0,14,5,145,5,-1,0,0,0
13,42009,76,3,1,1,0,4778,1,0,2,20,4,201,1,192,1,1,0
14,6467,46,11,1,1,0,2268,0,0,1,6,9,466,2,-1,0,0,1
15,6480,49,3,3,1,0,8,1,0,1,6,2,114,2,-1,0,0,0
16,27351,54,10,1,1,0,-42,1,0,0,7,5,87,1,-1,0,0,0
17,37500,33,6,2,1,0,65,1,0,1,15,5,186,2,341,1,1,0
18,5935,33,8,3,1,1,-142,1,0,1,4,8,827,3,-1,0,0,0
19,9386,30,9,2,2,0,5131,1,0,0,14,5,100,5,-1,0,0,0
20,10802,28,6,2,2,0,685,0,0,1,30,8,185,1,-1,0,0,0
21,19525,51,7,1,0,0,4346,0,0,1,17,7,853,1,-1,0,0,1
22,5527,60,3,1,3,0,-45,0,0,0,5,10,153,1,-1,0,0,0
23,10649,32,3,2,3,0,1691,1,0,1,20,5,135,5,-1,0,0,0
24,18958,31,5,2,1,0,4694,1,0,1,13,5,164,2,353,2,1,0
25,41036,50,7,3,3,0,787,1,0,1,11,2,626,1,261,3,2,1
26,40760,30,4,2,2,0,2511,1,0,2,5,11,146,1,176,1,2,0
27,39340,44,5,2,1,0,2528,0,0,2,21,7,332,1,-1,0,0,0
28,22168,34,11,2,2,0,1587,0,0,0,3,6,1041,1,-1,0,0,0
29,10152,53,8,1,1,1,-103,0,0,1,29,7,451,1,-1,0,0,0
30,12393,44,6,1,3,0,-31,0,0,1,20,8,315,2,-1,0,0,1
